geneID1	geneID2	reactionType	SlyID2	SlyID1
AT1G01620	AT2G45960	binding	Solyc01g094690.5	Solyc01g094690.5
AT1G01620	AT2G45960	binding	Solyc01g094690.5	Solyc08g008045.1
AT1G01620	AT2G45960	binding	Solyc01g094690.5	Solyc12g056220.2
AT1G01620	AT4G00430	binding	Solyc12g056220.2	Solyc08g081190.3
AT1G01620	AT4G00430	binding	Solyc12g056220.2	Solyc01g094690.5
AT1G01620	AT4G00430	binding	Solyc12g056220.2	Solyc08g008045.1
AT1G01620	AT4G00430	binding	Solyc12g056220.2	Solyc12g056220.2
AT1G01620	AT4G00430	binding	Solyc08g008045.1	Solyc08g081190.3
AT1G01620	AT4G00430	binding	Solyc08g008045.1	Solyc01g094690.5
AT1G01620	AT4G00430	binding	Solyc08g008045.1	Solyc08g008045.1
AT1G01620	AT4G00430	binding	Solyc08g008045.1	Solyc12g056220.2
AT1G01720	AT1G01720	unk_TF	Solyc06g060230.3	Solyc06g060230.3
AT1G01720	AT1G01720	binding	Solyc06g060230.3	Solyc06g060230.3
AT1G10940	AT2G25490	binding	Solyc07g008250.3	Solyc01g103940.3
AT1G10940	AT1G10940	binding	Solyc01g103940.3	Solyc01g103940.3
AT1G10940	AT2G25490	binding	Solyc12g009560.2	Solyc01g103940.3
AT1G10940	AT3G62980	binding	Solyc09g074520.3	Solyc01g103940.3
AT1G10940	AT1G30950	binding	Solyc02g081670.1	Solyc01g103940.3
AT1G10940	AT4G38810	binding	Solyc01g111040.4	Solyc01g103940.3
AT1G12440	AT2G01950	binding	Solyc04g008430.1	Solyc08g079700.3
AT1G13580	AT1G48270	binding	Solyc08g061260.5	Solyc05g010280.3
AT1G13580	AT2G33170	binding	Solyc09g091260.3	Solyc05g010280.3
AT1G13580	AT2G41820	binding	Solyc10g079170.2	Solyc05g010280.3
AT1G13580	AT2G41820	binding	Solyc04g015600.3	Solyc05g010280.3
AT1G13690	AT2G01950	binding	Solyc04g008430.1	Solyc04g005350.3
AT1G13690	AT1G13690	binding	Solyc04g005350.3	Solyc04g005350.3
AT1G14360	AT1G14360	binding	Solyc05g007150.4	Solyc01g010650.3
AT1G14360	AT1G14360	binding	Solyc05g007150.4	Solyc05g007150.4
AT1G14360	AT3G66654	binding	Solyc09g008410.3	Solyc01g010650.3
AT1G14360	AT3G66654	binding	Solyc09g008410.3	Solyc05g007150.4
AT1G14360	AT2G26180	binding	Solyc08g062940.4	Solyc01g010650.3
AT1G14360	AT2G26180	binding	Solyc08g062940.4	Solyc05g007150.4
AT1G14360	AT3G66654	binding	Solyc10g083930.2	Solyc01g010650.3
AT1G14360	AT3G66654	binding	Solyc10g083930.2	Solyc05g007150.4
AT1G14360	AT1G14360	binding	Solyc01g010650.3	Solyc01g010650.3
AT1G14360	AT1G14360	binding	Solyc01g010650.3	Solyc05g007150.4
AT1G14360	AT1G64850	binding	Solyc01g081190.4	Solyc01g010650.3
AT1G14360	AT1G64850	binding	Solyc01g081190.4	Solyc05g007150.4
AT1G14360	AT1G64850	binding	Solyc10g061870.1	Solyc01g010650.3
AT1G14360	AT1G64850	binding	Solyc10g061870.1	Solyc05g007150.4
AT1G21380	AT1G21380	binding	Solyc04g063280.3	Solyc04g063280.3
AT1G24260	AT4G00430	unk_TF	Solyc01g094690.5	Solyc05g015750.3
AT1G24260	AT5G42650	unk_TF	Solyc11g069800.1	Solyc05g015750.3
AT1G24260	AT2G25490	unk_TF	Solyc12g009560.2	Solyc05g015750.3
AT1G24260	AT2G43820	unk_TF	Solyc08g062220.3	Solyc05g015750.3
AT1G24260	AT2G25490	unk_TF	Solyc07g008250.3	Solyc05g015750.3
AT1G24260	AT4G00430	unk_TF	Solyc08g008045.1	Solyc05g015750.3
AT1G24260	AT1G60940	unk_TF	Solyc01g103940.3	Solyc05g015750.3
AT1G24260	AT3G15030	unk_TF	Solyc07g062680.3	Solyc05g015750.3
AT1G24260	AT4G00430	unk_TF	Solyc03g096290.3	Solyc05g015750.3
AT1G24260	AT3G54340	binding	Solyc04g081000.3	Solyc05g015750.3
AT1G24260	AT2G29350	unk_TF	Solyc06g083480.4	Solyc05g015750.3
AT1G24260	AT5G46760	unk_TF	Solyc08g076930.1	Solyc05g015750.3
AT1G24260	AT5G61850	unk_TF	Solyc03g118160.4	Solyc05g015750.3
AT1G24260	AT5G15230	unk_TF	Solyc03g116060.5	Solyc05g015750.3
AT1G24260	AT4G30270	unk_TF	Solyc07g009380.5	Solyc05g015750.3
AT1G24260	AT5G20240	binding	Solyc06g059970.4	Solyc05g015750.3
AT1G24260	AT2G16850	unk_TF	Solyc10g055630.2	Solyc05g015750.3
AT1G24260	AT2G33170	unk_TF	Solyc09g091260.3	Solyc05g015750.3
AT1G24260	AT5G38410	unk_TF	Solyc02g085950.5	Solyc05g015750.3
AT1G24260	AT5G20240	act_TF	Solyc06g059970.4	Solyc05g015750.3
AT1G24260	AT3G54340	act_TF	Solyc04g081000.3	Solyc05g015750.3
AT1G24260	AT5G15230	unk_TF	Solyc06g069790.5	Solyc05g015750.3
AT1G24260	AT2G16850	unk_TF	Solyc09g007770.3	Solyc05g015750.3
AT1G24260	AT4G30270	unk_TF	Solyc03g093130.3	Solyc05g015750.3
AT1G24260	AT1G24260	binding	Solyc05g015750.3	Solyc05g015750.3
AT1G24260	AT5G42650	unk_TF	Solyc04g079730.1	Solyc05g015750.3
AT1G24260	AT2G45960	unk_TF	Solyc08g008045.1	Solyc05g015750.3
AT1G24260	AT2G16850	unk_TF	Solyc02g083510.3	Solyc05g015750.3
AT1G24260	AT4G30270	unk_TF	Solyc03g093110.3	Solyc05g015750.3
AT1G24260	AT1G24260	act_TF	Solyc05g015750.3	Solyc05g015750.3
AT1G24260	AT2G16850	unk_TF	Solyc09g007760.5	Solyc05g015750.3
AT1G24260	AT3G22400	unk_TF	Solyc09g075860.3	Solyc05g015750.3
AT1G24260	AT4G38810	unk_TF	Solyc01g111040.4	Solyc05g015750.3
AT1G24260	AT5G08640	unk_TF	Solyc11g013110.2	Solyc05g015750.3
AT1G24260	AT4G35100	unk_TF	Solyc02g083510.3	Solyc05g015750.3
AT1G24260	AT4G30270	unk_TF	Solyc07g006860.3	Solyc05g015750.3
AT1G24260	AT5G38410	unk_TF	Solyc03g034220.3	Solyc05g015750.3
AT1G24260	AT2G45960	unk_TF	Solyc03g096290.3	Solyc05g015750.3
AT1G24260	AT4G21960	unk_TF	Solyc02g080530.3	Solyc05g015750.3
AT1G24260	AT4G00430	unk_TF	Solyc08g081190.3	Solyc05g015750.3
AT1G24260	AT2G29290	unk_TF	Solyc06g083480.4	Solyc05g015750.3
AT1G24260	AT3G01980	unk_TF	Solyc07g047800.3	Solyc05g015750.3
AT1G24260	AT4G35100	unk_TF	Solyc10g055630.2	Solyc05g015750.3
AT1G24260	AT4G00430	unk_TF	Solyc12g056220.2	Solyc05g015750.3
AT1G24260	AT1G65790	unk_TF	Solyc02g079590.3	Solyc05g015750.3
AT1G24260	AT2G21370	unk_TF	Solyc11g042950.1	Solyc05g015750.3
AT1G24260	AT3G22400	unk_TF	Solyc08g029000.3	Solyc05g015750.3
AT1G24260	AT2G45960	unk_TF	Solyc12g056220.2	Solyc05g015750.3
AT1G24260	AT3G22400	unk_TF	Solyc01g099160.5	Solyc05g015750.3
AT1G24260	AT2G45960	unk_TF	Solyc01g094690.5	Solyc05g015750.3
AT1G24260	AT2G45960	unk_TF	Solyc08g081190.3	Solyc05g015750.3
AT1G24260	AT5G38410	unk_TF	Solyc02g085940.5	Solyc05g015750.3
AT1G24260	AT5G38410	unk_TF	Solyc02g063150.3	Solyc05g015750.3
AT1G24260	AT1G12440	unk_TF	Solyc08g079700.3	Solyc05g015750.3
AT1G24260	AT1G01720	unk_TF	Solyc06g060230.3	Solyc05g015750.3
AT1G24260	AT2G41820	unk_TF	Solyc10g079170.2	Solyc05g015750.3
AT1G24260	AT1G78670	unk_TF	Solyc10g007410.4	Solyc05g015750.3
AT1G24260	AT5G66590	unk_TF	Solyc02g065470.1	Solyc05g015750.3
AT1G24260	AT2G41820	unk_TF	Solyc04g015600.3	Solyc05g015750.3
AT1G24260	AT3G22400	unk_TF	Solyc08g014000.3	Solyc05g015750.3
AT1G24260	AT3G47430	unk_TF	Solyc03g093180.1	Solyc05g015750.3
AT1G30950	AT5G61850	binding	Solyc03g118160.4	Solyc02g081670.1
AT1G30950	AT1G30950	binding	Solyc02g081670.1	Solyc02g081670.1
AT1G35670	AT1G35670	binding	Solyc11g018610.2	Solyc06g065380.4
AT1G35670	AT1G35670	binding	Solyc11g018610.2	Solyc11g018610.2
AT1G35670	AT1G35670	binding	Solyc11g018610.2	Solyc04g049160.3
AT1G35670	AT1G35670	binding	Solyc11g018610.2	Solyc05g056570.3
AT1G35670	AT1G35670	binding	Solyc04g049160.3	Solyc06g065380.4
AT1G35670	AT1G35670	binding	Solyc04g049160.3	Solyc11g018610.2
AT1G35670	AT1G35670	binding	Solyc04g049160.3	Solyc04g049160.3
AT1G35670	AT1G35670	binding	Solyc04g049160.3	Solyc05g056570.3
AT1G35670	AT2G01950	binding	Solyc04g008430.1	Solyc06g065380.4
AT1G35670	AT2G01950	binding	Solyc04g008430.1	Solyc11g018610.2
AT1G35670	AT2G01950	binding	Solyc04g008430.1	Solyc04g049160.3
AT1G35670	AT2G01950	binding	Solyc04g008430.1	Solyc05g056570.3
AT1G35670	AT1G35670	binding	Solyc06g065380.4	Solyc06g065380.4
AT1G35670	AT1G35670	binding	Solyc06g065380.4	Solyc11g018610.2
AT1G35670	AT1G35670	binding	Solyc06g065380.4	Solyc04g049160.3
AT1G35670	AT1G35670	binding	Solyc06g065380.4	Solyc05g056570.3
AT1G35670	AT1G35670	binding	Solyc05g056570.3	Solyc06g065380.4
AT1G35670	AT1G35670	binding	Solyc05g056570.3	Solyc11g018610.2
AT1G35670	AT1G35670	binding	Solyc05g056570.3	Solyc04g049160.3
AT1G35670	AT1G35670	binding	Solyc05g056570.3	Solyc05g056570.3
AT1G48270	AT1G48270	binding	Solyc08g061260.5	Solyc08g061260.5
AT1G55020	AT5G42650	synthesis	Solyc11g069800.1	Solyc08g014000.3
AT1G55020	AT5G42650	synthesis	Solyc11g069800.1	Solyc01g099160.5
AT1G55020	AT5G42650	synthesis	Solyc11g069800.1	Solyc08g029000.3
AT1G55020	AT5G42650	synthesis	Solyc04g079730.1	Solyc08g014000.3
AT1G55020	AT5G42650	synthesis	Solyc04g079730.1	Solyc01g099160.5
AT1G55020	AT5G42650	synthesis	Solyc04g079730.1	Solyc08g029000.3
AT1G60940	AT4G38810	binding	Solyc01g111040.4	Solyc01g103940.3
AT1G60940	AT1G60940	binding	Solyc01g103940.3	Solyc01g103940.3
AT1G65790	AT1G65790	binding	Solyc02g079590.3	Solyc02g079590.3
AT1G65790	AT3G46510	binding	Solyc11g066040.2	Solyc02g079590.3
AT2G01950	AT5G38410	binding	Solyc02g085950.5	Solyc04g008430.1
AT2G01950	AT3G62290	binding	Solyc01g100860.3	Solyc04g008430.1
AT2G01950	AT3G62290	binding	Solyc01g100870.3	Solyc04g008430.1
AT2G01950	AT3G62290	binding	Solyc05g005190.3	Solyc04g008430.1
AT2G01950	AT3G62290	binding	Solyc01g008000.3	Solyc04g008430.1
AT2G01950	AT4G21960	binding	Solyc02g080530.3	Solyc04g008430.1
AT2G01950	AT5G38410	binding	Solyc02g085940.5	Solyc04g008430.1
AT2G01950	AT4G34100	binding	Solyc01g107880.3	Solyc04g008430.1
AT2G01950	AT5G15230	binding	Solyc06g069790.5	Solyc04g008430.1
AT2G01950	AT5G38410	binding	Solyc02g063150.3	Solyc04g008430.1
AT2G01950	AT5G01530	binding	Solyc09g014520.3	Solyc04g008430.1
AT2G01950	AT4G31490	binding	Solyc10g081920.2	Solyc04g008430.1
AT2G01950	AT4G31490	binding	Solyc01g007150.3	Solyc04g008430.1
AT2G01950	AT5G38410	binding	Solyc03g034220.3	Solyc04g008430.1
AT2G01950	AT4G35090	binding	Solyc04g082460.4	Solyc04g008430.1
AT2G01950	AT3G62290	binding	Solyc04g025560.4	Solyc04g008430.1
AT2G01950	AT4G35090	binding	Solyc02g082760.3	Solyc04g008430.1
AT2G01950	AT5G15230	binding	Solyc03g116060.5	Solyc04g008430.1
AT2G01950	AT4G30190	binding	Solyc07g017780.4	Solyc04g008430.1
AT2G01950	AT2G01950	binding	Solyc04g008430.1	Solyc04g008430.1
AT2G05170	AT2G05170	binding	Solyc06g065170.4	Solyc06g065170.4
AT2G05170	AT3G54860	binding	Solyc05g055600.4	Solyc06g065170.4
AT2G05170	AT2G38020	binding	Solyc07g056220.3	Solyc06g065170.4
AT2G16850	AT2G16850	binding	Solyc02g083510.3	Solyc09g007770.3
AT2G16850	AT2G16850	binding	Solyc02g083510.3	Solyc02g083510.3
AT2G16850	AT2G16850	binding	Solyc02g083510.3	Solyc09g007760.5
AT2G16850	AT2G16850	binding	Solyc02g083510.3	Solyc10g055630.2
AT2G16850	AT4G35100	binding	Solyc02g083510.3	Solyc09g007770.3
AT2G16850	AT4G35100	binding	Solyc02g083510.3	Solyc02g083510.3
AT2G16850	AT4G35100	binding	Solyc02g083510.3	Solyc09g007760.5
AT2G16850	AT4G35100	binding	Solyc02g083510.3	Solyc10g055630.2
AT2G16850	AT2G16850	binding	Solyc09g007760.5	Solyc09g007770.3
AT2G16850	AT2G16850	binding	Solyc09g007760.5	Solyc02g083510.3
AT2G16850	AT2G16850	binding	Solyc09g007760.5	Solyc09g007760.5
AT2G16850	AT2G16850	binding	Solyc09g007760.5	Solyc10g055630.2
AT2G16850	AT4G00430	binding	Solyc12g056220.2	Solyc09g007770.3
AT2G16850	AT4G00430	binding	Solyc12g056220.2	Solyc02g083510.3
AT2G16850	AT4G00430	binding	Solyc12g056220.2	Solyc09g007760.5
AT2G16850	AT4G00430	binding	Solyc12g056220.2	Solyc10g055630.2
AT2G16850	AT2G16850	binding	Solyc09g007770.3	Solyc09g007770.3
AT2G16850	AT2G16850	binding	Solyc09g007770.3	Solyc02g083510.3
AT2G16850	AT2G16850	binding	Solyc09g007770.3	Solyc09g007760.5
AT2G16850	AT2G16850	binding	Solyc09g007770.3	Solyc10g055630.2
AT2G16850	AT2G45960	binding	Solyc01g094690.5	Solyc09g007770.3
AT2G16850	AT2G45960	binding	Solyc01g094690.5	Solyc02g083510.3
AT2G16850	AT2G45960	binding	Solyc01g094690.5	Solyc09g007760.5
AT2G16850	AT2G45960	binding	Solyc01g094690.5	Solyc10g055630.2
AT2G16850	AT4G35100	binding	Solyc10g055630.2	Solyc09g007770.3
AT2G16850	AT4G35100	binding	Solyc10g055630.2	Solyc02g083510.3
AT2G16850	AT4G35100	binding	Solyc10g055630.2	Solyc09g007760.5
AT2G16850	AT4G35100	binding	Solyc10g055630.2	Solyc10g055630.2
AT2G16850	AT2G45960	binding	Solyc12g056220.2	Solyc09g007770.3
AT2G16850	AT2G45960	binding	Solyc12g056220.2	Solyc02g083510.3
AT2G16850	AT2G45960	binding	Solyc12g056220.2	Solyc09g007760.5
AT2G16850	AT2G45960	binding	Solyc12g056220.2	Solyc10g055630.2
AT2G16850	AT2G45960	binding	Solyc08g081190.3	Solyc09g007770.3
AT2G16850	AT2G45960	binding	Solyc08g081190.3	Solyc02g083510.3
AT2G16850	AT2G45960	binding	Solyc08g081190.3	Solyc09g007760.5
AT2G16850	AT2G45960	binding	Solyc08g081190.3	Solyc10g055630.2
AT2G16850	AT4G00430	binding	Solyc08g081190.3	Solyc09g007770.3
AT2G16850	AT4G00430	binding	Solyc08g081190.3	Solyc02g083510.3
AT2G16850	AT4G00430	binding	Solyc08g081190.3	Solyc09g007760.5
AT2G16850	AT4G00430	binding	Solyc08g081190.3	Solyc10g055630.2
AT2G16850	AT2G16850	binding	Solyc10g055630.2	Solyc09g007770.3
AT2G16850	AT2G16850	binding	Solyc10g055630.2	Solyc02g083510.3
AT2G16850	AT2G16850	binding	Solyc10g055630.2	Solyc09g007760.5
AT2G16850	AT2G16850	binding	Solyc10g055630.2	Solyc10g055630.2
AT2G16850	AT2G45960	binding	Solyc08g008045.1	Solyc09g007770.3
AT2G16850	AT2G45960	binding	Solyc08g008045.1	Solyc02g083510.3
AT2G16850	AT2G45960	binding	Solyc08g008045.1	Solyc09g007760.5
AT2G16850	AT2G45960	binding	Solyc08g008045.1	Solyc10g055630.2
AT2G16850	AT4G00430	binding	Solyc01g094690.5	Solyc09g007770.3
AT2G16850	AT4G00430	binding	Solyc01g094690.5	Solyc02g083510.3
AT2G16850	AT4G00430	binding	Solyc01g094690.5	Solyc09g007760.5
AT2G16850	AT4G00430	binding	Solyc01g094690.5	Solyc10g055630.2
AT2G16850	AT4G00430	binding	Solyc03g096290.3	Solyc09g007770.3
AT2G16850	AT4G00430	binding	Solyc03g096290.3	Solyc02g083510.3
AT2G16850	AT4G00430	binding	Solyc03g096290.3	Solyc09g007760.5
AT2G16850	AT4G00430	binding	Solyc03g096290.3	Solyc10g055630.2
AT2G16850	AT4G00430	binding	Solyc08g008045.1	Solyc09g007770.3
AT2G16850	AT4G00430	binding	Solyc08g008045.1	Solyc02g083510.3
AT2G16850	AT4G00430	binding	Solyc08g008045.1	Solyc09g007760.5
AT2G16850	AT4G00430	binding	Solyc08g008045.1	Solyc10g055630.2
AT2G16850	AT2G45960	binding	Solyc03g096290.3	Solyc09g007770.3
AT2G16850	AT2G45960	binding	Solyc03g096290.3	Solyc02g083510.3
AT2G16850	AT2G45960	binding	Solyc03g096290.3	Solyc09g007760.5
AT2G16850	AT2G45960	binding	Solyc03g096290.3	Solyc10g055630.2
AT2G20050	AT2G20050	binding	Solyc05g018300.3	Solyc05g018300.3
AT2G25490	AT3G20770	inhibition	Solyc06g073730.2	Solyc12g009560.2
AT2G25490	AT3G20770	inhibition	Solyc06g073730.2	Solyc07g008250.3
AT2G25490	AT3G20770	binding	Solyc06g073720.3	Solyc12g009560.2
AT2G25490	AT3G20770	binding	Solyc06g073720.3	Solyc07g008250.3
AT2G25490	AT2G25490	binding	Solyc12g009560.2	Solyc12g009560.2
AT2G25490	AT2G25490	binding	Solyc12g009560.2	Solyc07g008250.3
AT2G25490	AT3G20770	inhibition	Solyc06g073720.3	Solyc12g009560.2
AT2G25490	AT3G20770	inhibition	Solyc06g073720.3	Solyc07g008250.3
AT2G25490	AT3G20770	binding	Solyc01g009170.4	Solyc12g009560.2
AT2G25490	AT3G20770	binding	Solyc01g009170.4	Solyc07g008250.3
AT2G25490	AT2G25490	binding	Solyc07g008250.3	Solyc12g009560.2
AT2G25490	AT2G25490	binding	Solyc07g008250.3	Solyc07g008250.3
AT2G25490	AT3G20770	inhibition	Solyc01g009170.4	Solyc12g009560.2
AT2G25490	AT3G20770	inhibition	Solyc01g009170.4	Solyc07g008250.3
AT2G25490	AT3G20770	binding	Solyc06g073730.2	Solyc12g009560.2
AT2G25490	AT3G20770	binding	Solyc06g073730.2	Solyc07g008250.3
AT2G26180	AT4G35100	binding	Solyc10g055630.2	Solyc08g062940.4
AT2G26180	AT2G45960	binding	Solyc12g056220.2	Solyc08g062940.4
AT2G26180	AT2G45960	binding	Solyc03g096290.3	Solyc08g062940.4
AT2G26180	AT2G41820	binding	Solyc04g015600.3	Solyc08g062940.4
AT2G26180	AT2G45960	binding	Solyc08g081190.3	Solyc08g062940.4
AT2G26180	AT4G35100	binding	Solyc02g083510.3	Solyc08g062940.4
AT2G26180	AT2G45960	binding	Solyc01g094690.5	Solyc08g062940.4
AT2G26180	AT4G30190	binding	Solyc07g017780.4	Solyc08g062940.4
AT2G26180	AT3G22060	binding	Solyc12g005720.1	Solyc08g062940.4
AT2G26180	AT2G41820	binding	Solyc10g079170.2	Solyc08g062940.4
AT2G26180	AT2G45960	binding	Solyc08g008045.1	Solyc08g062940.4
AT2G29350	AT2G29350	binding	Solyc06g083480.4	Solyc06g083480.4
AT2G33170	AT2G33170	binding	Solyc09g091260.3	Solyc09g091260.3
AT2G36305	AT2G45960	binding	Solyc03g096290.3	Solyc09g009630.3
AT2G36305	AT4G00430	binding	Solyc08g081190.3	Solyc09g009630.3
AT2G36305	AT4G00430	binding	Solyc01g094690.5	Solyc09g009630.3
AT2G36305	AT2G45960	binding	Solyc01g094690.5	Solyc09g009630.3
AT2G36305	AT4G00430	binding	Solyc03g096290.3	Solyc09g009630.3
AT2G36305	AT4G00430	binding	Solyc08g008045.1	Solyc09g009630.3
AT2G36305	AT2G45960	binding	Solyc08g081190.3	Solyc09g009630.3
AT2G36305	AT2G36305	binding	Solyc09g009630.3	Solyc09g009630.3
AT2G36305	AT4G00430	binding	Solyc12g056220.2	Solyc09g009630.3
AT2G36305	AT2G45960	binding	Solyc08g008045.1	Solyc09g009630.3
AT2G36305	AT2G45960	binding	Solyc12g056220.2	Solyc09g009630.3
AT2G38020	AT3G54860	binding	Solyc05g055600.4	Solyc07g056220.3
AT2G38020	AT2G38020	binding	Solyc07g056220.3	Solyc07g056220.3
AT2G41820	AT2G41820	binding	Solyc04g015600.3	Solyc04g015600.3
AT2G41820	AT2G41820	binding	Solyc04g015600.3	Solyc10g079170.2
