SlyID	AthID
Solyc05g053700.3	AT4G13080
Solyc11g030380.2	AT1G44770
Solyc04g079850.2	AT1G19290
Solyc05g051380.4	AT5G65510
Solyc02g077700.1	AT2G33855
Solyc03g113870.1	AT5G65200
Solyc02g082670.3	AT4G35550
Solyc06g009630.1	AT2G47400
Solyc01g091550.3	AT3G61200
Solyc06g060940.2	AT4G17570
Solyc07g018010.3	AT4G29930
Solyc09g007550.3	AT5G66730
Solyc11g020230.1	AT5G47850
Solyc06g075500.4	AT3G45720
Solyc05g015050.3	AT5G43230
Solyc09g005000.1	AT5G01560
Solyc06g051020.2	AT5G05480
Solyc07g007800.3	AT5G20270
Solyc11g066510.3	AT2G27940
Solyc06g007620.3	AT5G16380
Solyc10g045240.2	AT2G44450
Solyc01g014105.1	AT5G12900
Solyc06g065510.5	AT5G11310
Solyc04g049660.3	AT1G71430
Solyc09g092500.1	AT4G14090
Solyc02g071450.3	AT4G25300
Solyc02g068790.4	AT4G19900
Solyc01g005790.1	AT1G10330
Solyc05g009720.3	AT1G25550
Solyc05g054360.5	AT5G27870
Solyc04g077670.3	AT2G22970
Solyc12g096950.2	AT2G05590
Solyc03g094000.3	AT5G47110
Solyc10g075090.3	AT2G38530
Solyc10g075103.1	AT2G38530
Solyc10g086700.3	AT2G37950
Solyc09g091120.3	AT3G23980
Solyc01g081320.5	AT5G27460
Solyc04g071640.1	AT2G21740
Solyc01g107510.3	AT5G44750
Solyc06g065070.1	AT4G20820
Solyc05g047485.1	AT3G45070
Solyc09g020000.3	AT3G07565
Solyc07g041020.3	AT2G19385
Solyc11g070020.3	AT5G11810
Solyc01g087420.4	AT3G08020
Solyc10g076730.1	AT1G14890
Solyc11g010720.1	AT5G65520
Solyc06g053610.3	AT1G79180
Solyc08g075840.3	AT2G06510
Solyc10g044880.1	AT5G19875
Solyc08g083450.2	AT4G39950
Solyc10g051110.1	AT3G18890
Solyc04g080660.4	AT1G19640
Solyc07g056290.2	AT2G33160
Solyc12g013860.2	AT4G27500
Solyc01g096030.4	AT3G61800
Solyc05g051370.3	AT5G65540
Solyc03g031460.1	AT3G13160
Solyc02g067350.3	AT5G39785
Solyc10g007940.1	AT3G16610
Solyc08g066680.3	AT5G25820
Solyc09g008100.4	AT2G36960
Solyc04g077640.4	AT5G09640
Solyc05g055840.4	AT2G28080
Solyc09g009990.5	AT3G52610
Solyc01g106990.2	AT4G33840
Solyc07g052620.1	AT3G21890
Solyc04g052910.3	AT1G29430
Solyc11g072560.4	AT3G45660
Solyc03g083370.3	AT5G24230
Solyc03g025870.3	AT3G48920
Solyc11g069410.2	AT2G28430
Solyc06g050730.4	AT5G05360
Solyc01g068370.4	AT3G03750
Solyc10g045240.2	AT5G42260
Solyc08g079810.4	AT1G73970
Solyc03g044740.5	AT3G50440
Solyc01g105010.3	AT2G13820
Solyc04g005100.3	AT1G70000
Solyc04g064920.5	AT3G21260
Solyc01g106460.4	AT4G37850
Solyc05g047510.3	AT3G45080
Solyc11g009060.2	AT5G10320
Solyc12g006800.2	AT2G03500
Solyc01g100370.3	AT3G62550
Solyc11g008100.3	AT1G13390
Solyc03g111970.4	AT3G48280
Solyc06g009620.1	AT1G09220
Solyc11g045460.3	AT5G06570
Solyc02g071280.3	AT5G46420
Solyc01g005980.4	AT5G19860
Solyc04g079600.3	AT5G42630
Solyc04g077640.4	AT2G23010
Solyc05g008210.4	AT1G66480
Solyc12g088940.3	AT5G66850
Solyc02g062190.2	AT1G34060
Solyc04g010050.5	AT1G08610
Solyc02g083470.3	AT3G01160
Solyc01g011430.4	AT3G49210
Solyc04g077650.3	AT2G22990
Solyc07g047940.4	AT3G52980
Solyc06g009510.1	AT2G47270
Solyc05g150121.1	AT1G68585
Solyc07g047970.5	AT5G50550
Solyc07g047970.5	AT5G50650
Solyc05g009720.3	AT1G68670
Solyc07g018290.4	AT5G57390
Solyc01g087430.3	AT3G08020
Solyc06g053610.3	AT3G23250
Solyc07g051930.3	AT5G55090
Solyc05g008895.1	AT5G38170
Solyc12g035670.3	AT3G06290
Solyc05g015390.3	AT1G67360
Solyc05g160260.1	AT1G67360
Solyc02g080100.1	AT4G05220
Solyc05g054360.5	AT5G49180
Solyc06g060520.1	AT3G08600
Solyc08g061240.3	AT5G21950
Solyc01g010510.4	AT1G26900
Solyc11g006830.2	AT3G54290
Solyc03g121620.1	AT1G17620
Solyc11g013020.2	AT4G08240
Solyc04g082320.3	AT1G76280
Solyc08g077730.3	AT4G17080
Solyc04g011610.3	AT2G39720
Solyc02g094000.1	AT1G76640
Solyc09g065690.4	AT5G19840
Solyc08g006520.1	AT2G24762
Solyc11g072400.3	AT5G60370
Solyc02g087260.1	AT3G01360
Solyc05g016230.3	AT1G04020
Solyc02g032870.5	AT1G11800
Solyc06g060120.3	AT1G21700
Solyc07g006620.4	AT5G57670
Solyc10g037900.1	AT2G44760
Solyc10g055560.2	AT4G35070
Solyc04g082480.3	AT1G20640
Solyc04g025300.3	AT5G23570
Solyc03g006047.1	AT3G45070
Solyc03g119530.3	AT3G02550
Solyc01g096550.3	AT3G12270
Solyc02g087150.3	AT5G14910
Solyc01g104550.3	AT1G68150
Solyc06g005330.3	AT3G46130
Solyc11g005500.1	AT1G76750
Solyc05g026210.2	AT5G62480
Solyc09g011020.4	AT5G02130
Solyc09g010480.1	AT2G37530
Solyc01g094920.4	AT4G00300
Solyc04g007240.1	AT1G68460
Solyc03g006920.2	AT4G25390
Solyc01g112190.3	AT4G35270
Solyc11g071820.3	AT5G22050
Solyc09g005000.1	AT3G08870
Solyc01g058450.3	AT4G16280
Solyc01g005910.3	AT3G12685
Solyc11g020300.2	AT5G16620
Solyc01g073930.3	AT2G44420
Solyc01g057520.5	AT3G17340
Solyc04g007440.1	AT2G24560
Solyc10g005920.4	AT3G13290
Solyc11g008670.2	AT1G65470
Solyc09g089790.3	AT5G43440
Solyc11g062360.2	AT5G12260
Solyc10g074800.3	AT1G30050
Solyc09g015360.5	AT5G59610
Solyc02g093420.4	AT5G14490
Solyc12g096820.1	AT1G05680
Solyc01g068140.5	AT3G62160
Solyc11g005320.1	AT1G49220
Solyc01g065550.3	AT5G49230
Solyc04g071050.4	AT1G21320
Solyc03g121660.3	AT3G50700
Solyc02g077550.4	AT5G46060
Solyc08g066510.3	AT5G25830
Solyc09g061350.1	AT3G22530
Solyc01g104630.3	AT2G06000
Solyc10g084960.2	AT3G09270
Solyc09g074430.5	AT1G48910
Solyc02g070550.3	AT5G46250
Solyc01g079260.5	AT2G47260
Solyc09g074430.5	AT1G21430
Solyc06g083980.3	AT4G16430
Solyc02g085190.2	AT2G18380
Solyc02g071250.3	AT4G18140
Solyc03g119840.3	AT1G48960
Solyc01g094660.3	AT2G45910
Solyc05g047485.1	AT3G45080
Solyc01g100450.1	AT1G09820
Solyc03g117570.3	AT1G80880
Solyc05g006540.3	AT1G24190
Solyc06g050930.3	AT3G11040
Solyc02g067960.3	AT1G79220
Solyc04g077640.4	AT1G33540
Solyc01g111200.3	AT4G38710
Solyc01g109980.4	AT2G16400
Solyc03g006410.3	AT4G32480
Solyc03g123860.4	AT1G73080
Solyc03g097190.3	AT5G16730
Solyc01g081370.4	AT5G33340
Solyc02g077330.3	AT5G45950
Solyc10g080510.1	AT5G06740
Solyc09g011780.3	AT3G09230
Solyc08g082210.4	AT1G64380
Solyc03g122270.4	AT1G72500
Solyc12g036470.2	AT1G73830
Solyc02g071130.5	AT4G18170
Solyc01g106990.2	AT4G33860
Solyc10g078920.4	AT5G06690
Solyc05g053090.2	AT3G46600
Solyc10g078330.2	AT5G06150
Solyc01g094850.3	AT2G46050
Solyc01g006100.4	AT1G69770
Solyc02g071500.2	AT1G17020
Solyc03g098100.4	AT1G59960
Solyc01g096050.4	AT1G01260
Solyc02g071500.2	AT1G78550
Solyc02g071110.3	AT4G18190
Solyc03g080040.1	AT4G01575
Solyc01g112050.3	AT2G17110
Solyc02g078790.4	AT1G09060
Solyc03g081300.4	AT5G54180
Solyc04g054880.3	AT4G39790
Solyc01g011430.4	AT3G49190
Solyc02g031980.3	AT2G35035
Solyc09g007410.3	AT5G03040
Solyc12g094710.2	AT2G33620
Solyc10g049720.2	AT5G43175
Solyc07g062310.4	AT3G14870
Solyc06g069070.1	AT3G18280
Solyc07g049350.3	AT2G32970
Solyc01g009300.3	AT3G44200
Solyc11g050930.1	AT2G03760
Solyc01g110470.3	AT2G21240
Solyc10g045540.2	AT1G56440
Solyc06g071630.2	AT4G14590
Solyc10g082040.2	AT2G36020
Solyc11g011150.2	AT5G16630
Solyc01g066360.3	AT5G27870
Solyc11g066340.2	AT2G28130
Solyc03g006043.1	AT3G45070
Solyc07g064020.5	AT5G54660
Solyc04g077670.3	AT1G73300
Solyc04g077650.3	AT3G12203
Solyc06g076400.3	AT1G07430
Solyc06g072840.3	AT5G17165
Solyc03g121710.2	AT1G17640
Solyc11g005540.1	AT2G21740
Solyc08g065380.3	AT5G56840
Solyc12g006940.2	AT1G80400
Solyc06g076770.3	AT5G58900
Solyc01g074040.2	AT3G60140
Solyc08g080930.1	AT1G63450
Solyc09g065670.3	AT1G03840
Solyc03g093550.1	AT5G47230
Solyc03g031420.1	AT5G51920
Solyc08g083270.3	AT4G10630
Solyc08g078670.2	AT4G16563
Solyc03g111880.3	AT3G48270
Solyc08g061140.3	AT5G11270
Solyc10g086250.2	AT1G66370
Solyc09g075570.1	AT2G47485
Solyc06g072720.3	AT1G32360
Solyc10g052530.1	AT1G29460
Solyc09g011630.3	AT3G09270
Solyc08g078700.3	AT4G25200
Solyc03g079930.3	AT2G39795
Solyc11g012610.2	AT4G17240
Solyc05g020020.4	AT3G07650
Solyc11g013030.2	AT1G77680
Solyc10g008340.4	AT4G28300
Solyc06g075500.4	AT3G45710
Solyc09g042700.4	AT3G51730
Solyc07g053060.3	AT2G30780
Solyc03g113460.1	AT2G47120
Solyc02g065280.3	AT2G23580
Solyc06g075480.4	AT3G45660
Solyc09g013110.3	AT3G54120
Solyc06g051120.5	AT5G05550
Solyc08g062650.2	AT1G72770
Solyc06g076280.3	AT3G46600
Solyc09g018490.4	AT3G51710
Solyc07g047680.3	AT5G48170
Solyc06g068310.1	AT1G15760
Solyc07g044870.5	AT3G07820
Solyc07g043150.1	AT4G15260
Solyc11g051090.1	AT2G03760
Solyc02g084590.4	AT5G66320
Solyc04g077670.3	AT2G23000
Solyc10g055710.2	AT1G78610
Solyc01g068240.3	AT4G30890
Solyc05g054080.3	AT4G12570
Solyc03g115140.4	AT1G74250
Solyc03g025530.3	AT5G52410
Solyc06g060970.2	AT4G17030
Solyc07g042230.1	AT1G19210
Solyc07g062860.3	AT3G15180
Solyc01g006230.3	AT2G44140
Solyc09g011470.3	AT5G02020
Solyc04g077640.4	AT2G22970
Solyc02g092050.3	AT4G37750
Solyc07g051840.5	AT1G62300
Solyc10g074900.2	AT5G37450
Solyc09g089890.1	AT1G04360
Solyc05g012660.3	AT2G03360
Solyc01g107620.4	AT2G15280
Solyc03g114780.3	AT5G08110
Solyc01g094860.4	AT2G46060
Solyc02g083270.4	AT4G35760
Solyc07g009260.3	AT1G19610
Solyc10g005440.3	AT4G21390
Solyc03g116390.5	AT1G52690
Solyc05g051545.1	AT5G10310
Solyc09g066120.4	AT3G04610
Solyc02g071470.5	AT1G17020
Solyc09g030370.3	AT1G58430
Solyc04g008440.1	AT1G59960
Solyc01g095800.3	AT5G51380
Solyc05g005390.3	AT5G47670
Solyc07g047970.5	AT2G01470
Solyc02g071410.3	AT4G25300
Solyc02g091270.3	AT1G71080
Solyc12g099580.2	AT4G01440
Solyc09g031920.1	AT3G54200
Solyc03g116100.3	AT5G62470
Solyc08g079150.1	AT4G22620
Solyc02g090000.3	AT3G50810
Solyc05g018413.2	AT3G24420
Solyc03g005180.1	AT3G22450
Solyc09g014993.1	AT2G38480
Solyc09g065750.3	AT1G03055
Solyc01g065710.3	AT1G56260
Solyc10g009480.5	AT3G61750
Solyc10g055230.1	AT5G49040
Solyc11g021040.3	AT1G53940
Solyc01g104010.3	AT1G22030
Solyc10g005290.5	AT4G04870
Solyc03g034400.3	AT1G64820
Solyc06g066780.3	AT1G80420
Solyc09g090490.3	AT1G31710
Solyc06g083800.4	AT1G04450
Solyc12g094710.2	AT4G17950
Solyc10g006090.4	AT5G55390
Solyc02g085600.1	AT4G36710
Solyc02g021020.4	AT2G17140
Solyc04g054410.3	AT5G10060
Solyc04g077640.4	AT2G22980
Solyc03g033650.3	AT3G51100
Solyc11g013320.2	AT1G77860
Solyc03g033560.3	AT2G17975
Solyc11g005950.2	AT2G13690
Solyc02g072090.2	AT4G18820
Solyc01g057000.3	AT3G11930
Solyc05g051410.3	AT5G10440
Solyc05g053050.1	AT5G02220
Solyc06g075490.1	AT3G45710
Solyc06g065060.1	AT5G44440
Solyc01g007800.3	AT2G36026
Solyc04g081790.4	AT3G14820
Solyc07g040890.1	AT5G62180
Solyc02g087960.3	AT1G08810
Solyc06g071470.4	AT5G62810
Solyc09g010350.5	AT5G59830
Solyc11g064800.3	AT5G12330
Solyc07g042380.4	AT2G34357
Solyc06g084000.4	AT3G04610
Solyc04g074170.3	AT1G34670
Solyc01g066360.3	AT5G49180
Solyc05g009170.3	AT1G68360
Solyc04g005010.4	AT5G51080
Solyc07g052500.1	AT2G32350
Solyc03g098500.4	AT3G17660
Solyc05g007120.4	AT1G14390
Solyc07g054860.1	AT4G28680
Solyc04g077670.3	AT1G73270
Solyc01g090190.3	AT4G16830
Solyc06g069420.3	AT5G17390
Solyc05g011990.4	AT1G69070
Solyc03g113600.4	AT1G18990
Solyc12g088490.1	AT5G08480
Solyc03g034390.1	AT1G66850
Solyc01g107100.4	AT3G19615
Solyc01g090510.2	AT3G25970
Solyc03g116590.3	AT5G62200
Solyc02g067100.3	AT5G15510
Solyc04g064660.1	AT3G21470
Solyc04g077640.4	AT1G73300
Solyc07g044870.5	AT3G07850
Solyc08g007220.4	AT5G47210
Solyc06g084570.4	AT4G02405
Solyc10g079510.3	AT1G20720
Solyc03g120440.3	AT1G80370
Solyc05g013700.4	AT3G26400
Solyc01g009860.3	AT5G13180
Solyc04g011610.3	AT3G46620
Solyc03g026370.1	AT4G25433
Solyc04g055180.3	AT4G39870
Solyc01g095800.3	AT5G07670
Solyc06g073500.3	AT3G59300
Solyc02g070860.4	AT3G59090
Solyc07g051840.5	AT4G22070
Solyc06g065360.3	AT1G35660
Solyc11g012290.2	AT4G22360
Solyc01g057000.3	AT3G58450
Solyc10g086710.3	AT3G54040
Solyc01g108620.3	AT2G15695
Solyc06g061080.3	AT4G17980
Solyc08g077850.2	AT4G17610
Solyc02g093980.3	AT3G01810
Solyc11g013240.3	AT1G77720
Solyc10g006330.3	AT1G42550
Solyc03g119390.5	AT1G73830
Solyc06g065190.1	AT1G35560
Solyc02g093850.3	AT3G01750
Solyc01g097350.5	AT5G28830
Solyc09g015230.1	AT1G21250
Solyc01g010260.3	AT5G06900
Solyc03g124068.2	AT1G79460
Solyc03g025860.3	AT5G52270
Solyc10g086780.2	AT1G49390
Solyc10g039430.3	AT3G03560
Solyc07g008920.5	AT5G57240
Solyc04g077650.3	AT2G23000
Solyc09g009150.1	AT5G03700
Solyc05g053700.3	AT4G13090
Solyc08g067250.5	AT2G45700
Solyc04g007440.1	AT1G58430
Solyc07g056290.2	AT1G78400
Solyc10g083800.2	AT2G36720
Solyc01g080150.3	AT3G63110
Solyc05g026550.3	AT1G70760
Solyc03g117040.3	AT1G15910
Solyc07g026680.2	AT5G56840
Solyc07g007390.3	AT4G32070
Solyc10g081890.2	AT1G08440
Solyc11g008970.1	AT4G39952
Solyc04g015520.3	AT3G57540
Solyc02g083310.3	AT5G66050
Solyc08g067100.2	AT5G10770
Solyc07g062310.4	AT1G53380
Solyc03g026100.1	AT5G24670
Solyc12g015650.3	AT3G20170
Solyc01g097820.5	AT3G04890
Solyc03g111680.3	AT4G24790
Solyc10g006730.1	AT4G22760
Solyc03g114390.1	AT5G23100
Solyc02g081340.3	AT3G03190
Solyc09g090600.3	AT1G04040
Solyc02g085620.3	AT5G66710
Solyc03g006540.3	AT2G01755
Solyc03g114660.1	AT1G18485
Solyc04g081790.4	AT5G42170
Solyc10g079850.2	AT3G19870
Solyc01g096650.4	AT5G07040
Solyc12g007110.2	AT1G70460
Solyc08g044510.5	AT3G60130
Solyc01g103873.1	AT1G58110
Solyc05g018403.2	AT3G24420
Solyc04g082130.5	AT1G20410
Solyc01g095720.3	AT3G61680
Solyc03g043910.3	AT5G65910
Solyc12g017280.2	AT1G79190
Solyc08g068100.3	AT5G25590
Solyc09g091830.5	AT4G13670
Solyc11g008070.1	AT5G21050
Solyc04g077640.4	AT1G73270
Solyc10g086060.2	AT5G03040
Solyc02g087540.3	AT3G28610
Solyc04g074740.5	AT1G72230
Solyc01g008710.5.1	AT1G02310
Solyc01g080100.3	AT3G06145
Solyc02g071380.2	AT1G17020
Solyc03g034190.3	AT5G15760
Solyc02g071440.3	AT1G17020
Solyc09g064740.4	AT2G48100
Solyc02g014300.2	AT3G10710
Solyc10g074470.3	AT4G35240
Solyc01g079200.5	AT1G02400
Solyc01g104250.5	AT1G25290
Solyc07g025250.3	AT5G15010
Solyc06g071640.3	AT4G24670
Solyc02g076850.2	AT1G29160
Solyc07g063820.3	AT4G27290
Solyc10g008360.2	AT2G20700
Solyc01g103875.1	AT1G58110
Solyc02g032800.1	AT1G11700
Solyc02g093750.3	AT3G27330
Solyc11g073220.3	AT1G07745
Solyc10g005180.3	AT5G44650
Solyc08g079235.2	AT4G12390
Solyc01g094460.3	AT2G45850
Solyc12g017380.3	AT1G16390
Solyc10g078900.3	AT3G58030
Solyc06g082530.3	AT1G07530
Solyc01g058205.1	AT3G48810
Solyc02g091080.2	AT2G04040
Solyc02g073580.1	AT4G18650
Solyc06g068010.3	AT1G52670
Solyc10g018340.1	AT3G60690
Solyc12g088250.2	AT3G10450
Solyc06g082520.3	AT2G30470
Solyc12g036220.3	AT1G74390
Solyc02g067390.3	AT3G01210
Solyc02g088230.3	AT3G29060
Solyc04g007650.4	AT1G71010
Solyc05g014190.4	AT3G26085
Solyc05g013710.3	AT1G67810
Solyc07g065920.4	AT1G55790
Solyc02g080890.3	AT1G62300
Solyc04g007500.1	AT1G15100
Solyc02g092980.3	AT5G67260
Solyc08g079670.3	AT1G12450
Solyc09g005910.4	AT3G09560
Solyc01g066830.3	AT4G15880
Solyc07g052270.3	AT5G50770
Solyc09g065660.4	AT3G22830
Solyc09g010230.2	AT2G36080
Solyc04g077650.3	AT2G22970
Solyc03g097120.3	AT5G16820
Solyc11g072850.2	AT5G59990
Solyc08g006670.3	AT5G63480
Solyc01g102740.3	AT2G02450
Solyc12g010560.3	AT2G31550
Solyc05g009610.1	AT1G68620
Solyc11g017270.2	AT1G34420
Solyc02g071500.2	AT4G25300
Solyc04g077340.3	AT4G27290
Solyc06g075490.1	AT3G45680
Solyc06g075500.4	AT3G45660
Solyc04g075000.1	AT1G28390
Solyc02g072010.4	AT4G18840
Solyc10g076300.2	AT2G38480
Solyc05g050730.1	AT5G55110
Solyc00g500099.1	AT2G07695
Solyc00g500099.1	ATMG01280
Solyc00g500272.1	AT2G07695
Solyc00g500272.1	ATMG01280
Solyc00g500318.1	AT2G07695
Solyc00g500318.1	ATMG01280
Solyc04g078840.3	AT1G45249
Solyc07g005360.3	AT2G30575
Solyc01g074040.2	AT5G25980
Solyc07g007330.1	AT5G11090
Solyc07g053990.4	AT4G28300
Solyc02g093150.3	AT4G36920
Solyc11g071720.2	AT5G06570
Solyc01g087910.5	AT3G52030
Solyc10g079010.3	AT3G58050
Solyc02g072090.2	AT5G45720
Solyc07g066330.3	AT1G56010
Solyc10g084830.2	AT5G02170
Solyc01g068270.3	AT5G63940
Solyc10g045240.2	AT3G60130
Solyc08g042010.5	AT5G25310
Solyc10g076840.2	AT5G20550
Solyc01g091140.4	AT1G02020
Solyc07g062170.3	AT1G33260
Solyc09g011490.3	AT3G09270
Solyc06g082520.3	AT4G32010
Solyc03g112010.5	AT3G48290
Solyc11g072580.2	AT3G45650
Solyc08g008370.3	AT5G42050
Solyc08g065320.3	AT2G26070
Solyc11g012770.2	AT5G47690
Solyc10g085620.2	AT3G04030
Solyc04g052910.3	AT1G29500
Solyc02g080890.3	AT4G04450
Solyc01g081370.4	AT1G64830
Solyc08g074290.3	AT2G24420
Solyc01g079890.3	AT3G06100
Solyc02g092010.4	AT3G49725
Solyc07g062680.3	AT3G15030
Solyc06g050860.3	AT3G56230
Solyc06g084380.4	AT4G02940
Solyc02g021270.3	AT2G02150
Solyc01g099970.4	AT5G27920
Solyc02g094430.4	AT5G41120
Solyc09g007200.4	AT5G02830
Solyc08g081600.1	AT1G49330
Solyc02g086200.4	AT5G16180
Solyc01g099300.3	AT1G19100
Solyc03g007090.1	AT5G51670
Solyc06g005690.3	AT5G59600
Solyc01g110470.3	AT4G38910
Solyc11g005320.1	AT1G49210
Solyc02g088040.1	AT5G15260
Solyc06g051030.3	AT2G40270
Solyc09g072690.1	AT5G17860
Solyc03g033530.4	AT4G36050
Solyc09g090600.3	AT5G44020
Solyc08g044345.1	AT1G49245
Solyc04g055010.3	AT4G39740
Solyc10g005550.3	AT1G16490
Solyc09g007550.3	AT1G03840
Solyc01g110010.3	AT1G74600
Solyc08g044510.5	AT5G44640
Solyc02g067690.3	AT5G14860
Solyc09g030370.3	AT2G24560
Solyc04g051730.1	AT2G23180
Solyc02g087540.3	AT5G40000
Solyc02g094430.4	AT3G26840
Solyc08g081000.3	AT1G63490
Solyc04g081790.4	AT1G75890
Solyc09g091920.3	AT4G13600
Solyc10g080210.2	AT3G07970
Solyc03g113760.3	AT3G48160
Solyc03g034400.3	AT2G04100
Solyc07g053700.4	AT2G20590
Solyc01g087180.5	AT1G07985
Solyc08g079700.3	AT1G12440
Solyc04g079420.3	AT4G33300
Solyc07g043650.3	AT1G20560
Solyc10g078330.2	AT3G11520
Solyc12g011440.2	AT1G17080
Solyc05g005310.3	AT5G60190
Solyc01g104410.4	AT5G24750
Solyc01g100140.4	AT5G26990
Solyc12g036220.3	AT5G61390
Solyc01g109450.3	AT1G49350
Solyc11g072380.2	AT2G28490
Solyc11g039960.2	AT5G08200
Solyc06g065800.3	AT4G31930
Solyc02g088380.4	AT4G12880
Solyc11g011220.2	AT1G23170
Solyc10g078600.3	AT1G19715
